flag_very_short,MTLD_valid,guiraud,herdan_c,k2_ratio,mean_word_length,mean_syllables,academic_suffix_ratio,oov_ratio,hapax_ratio,mean_sent_length,sent_per_para,sent_length_std,len_z_in_prompt,clean_beyond_2k,prompt_grouped_Being busy,prompt_grouped_Career commitment,prompt_grouped_Cell phones at school,prompt_grouped_Cell phones in classrooms,prompt_grouped_Community service,prompt_grouped_Controlling extracurricular involvement,prompt_grouped_Creative arts requirement,prompt_grouped_Curfews for teenagers,prompt_grouped_Distance learning,prompt_grouped_Enjoyable educational activities,prompt_grouped_Extended school day,prompt_grouped_First impressions,prompt_grouped_Four-day work week,prompt_grouped_Imagination,prompt_grouped_Impact of technology,prompt_grouped_Individuality,prompt_grouped_Influences of character,prompt_grouped_Influencing behavior,prompt_grouped_Internships and shadowing,prompt_grouped_Lessons with elementary school students,prompt_grouped_Letter to employer,prompt_grouped_Lunch menus,prompt_grouped_Mandatory extracurricular activities,prompt_grouped_OTHER,prompt_grouped_Places to visit,prompt_grouped_Positive attitudes,prompt_grouped_Praising student work,prompt_grouped_Seeking multiple opinions,prompt_grouped_Self-reliance,prompt_grouped_Spending time outdoors,prompt_grouped_Success and failure,prompt_grouped_Talents and skills,prompt_grouped_Three-year high school program,prompt_grouped_Trying something beyond what you have mastered,prompt_grouped_Working with a group or alone,prompt_grouped_Year-round school
0,27.88366779,4.15009426913597,0.7272830694661337,0.019193857965451,4.63915547024952,1.5585412667946257,0.0249520153550863,0.0019193857965451,0.3645833333333333,21.83333333333333,4.8,6.194615717612262,0.4498876532886281,0.072936660268714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,46.79184999,8.431018743414537,0.8335333631955049,0.0592334494773519,3.940766550522648,1.2526132404181185,0.024390243902439,0.0034843205574912,0.551219512195122,20.58620689655172,2.636363636363636,16.23648155646208,0.9568512888689976,0.059233449477352006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,82.76395487,7.1175341260280645,0.8620604488477192,0.0542986425339366,4.0542986425339365,1.2669683257918551,0.0135746606334841,0.0,0.5428571428571428,56.5,1.0,9.908960591303208,-1.3546991797960526,0.0497737556561085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,42.83092163,5.930084791266102,0.7743719494564952,0.0806962025316455,4.382911392405063,1.3417721518987342,0.0284810126582278,0.0221518987341772,0.3959731543624161,43.8,1.3636363636363635,31.648459678158115,1.0115328643409074,0.039556962025316396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,51.66465762,8.371578903244123,0.8198238641560704,0.0496083550913838,4.032637075718016,1.3015665796344646,0.031331592689295,0.0,0.5151515151515151,28.444444444444443,5.4,20.697375299957,1.8971037685109038,0.0652741514360313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,56.89057738,7.961865632354829,0.8442929791893182,0.0707070707070707,4.325757575757576,1.297979797979798,0.0101010101010101,0.0,0.6086956521739131,17.25,4.8,5.794342067914182,-0.37254297800072184,0.0681818181818181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,41.92137195,7.602631123487406,0.8516611487680772,0.0250783699059561,4.307210031347962,1.35423197492163,0.0156739811912225,0.0564263322884012,0.5808823529411765,24.615384615384617,4.333333333333333,10.202679773285691,-0.6731811747441157,0.09717868338557999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,45.04834039,7.241055579531503,0.8475047405741526,0.0704697986577181,4.389261744966443,1.359060402684564,0.023489932885906,0.0100671140939597,0.528,99.33333333333331,1.5,100.93342140022578,-0.8259590834412766,0.1040268456375839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,35.38888889,6.892691959888738,0.7979087096748786,0.02803738317757,4.007788161993769,1.235202492211838,0.0031152647975077,0.0077881619937694,0.4244186046511627,18.62857142857143,7.0,6.529931086925803,1.1249150903614604,0.0342679127725857,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,64.46109148,9.216294926145912,0.8657099980923791,0.0691244239631336,4.096774193548387,1.336405529953917,0.0184331797235023,0.0,0.6197916666666666,25.529411764705884,1.4166666666666667,22.0403844502042,0.13015799002190553,0.1036866359447004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
